🕘️更新时间,#genre#
新疆卫视,http://49.79.3.119:8890/rtp/239.49.1.239:6000$江苏电信组播源-1920x1080
新疆卫视,http://183.66.15.138:4070/rtp/235.254.198.47:1464$重庆电信组播源-1920x1080
新疆卫视,http://114.95.156.205:4022/rtp/239.45.1.116:5140$上海电信组播源-1920x1080
新疆卫视,http://114.252.236.205:8000/rtp/239.3.1.48:8160$北京联通组播源-1920x1080
云南卫视,http://14.112.86.85:4022/rtp/239.253.43.100:5146$广东电信组播源-1920x1080
云南卫视,http://112.255.69.58:6666/rtp/239.253.254.196:8000$山东联通组播源-1920x1080
云南卫视,http://123.113.187.204:8000/udp/239.3.1.26:8108$订阅源-1920x1080
云南卫视,http://123.157.31.182:7912/rtp/233.50.201.46:5140$浙江联通组播源-1920x1080
云南卫视,http://114.240.224.31:3000/rtp/239.3.1.26:8108$北京联通组播源-1920x1080

港·澳·台,#genre#
翡翠台,https://cdn.iptv8k.top/dl/jrys.php?id=3&time=20240926215313&ip=111.229.253.40$订阅源-1920x1080
翡翠台,http://qjrhc.jydjd.top:2911/udp/224.1.100.122:11111$订阅源-1920x1080
翡翠台,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8$订阅源-1280x720
翡翠台,http://mzitv.cn:32/tsfile/live/1016_1.m3u8$订阅源
翡翠台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941619&extension=ts&play_token=p2yEuU1aFS$订阅源
凤凰中文,http://xeace.cn:8888/rtp/239.93.1.9:2192$本地源-1920x1080
凤凰中文,http://wouu.net:9977/rtp/239.93.0.162:2192?Cf=cfss.cc$组播源-1920x1080
凤凰中文,http://qjrhc.jydjd.top:2911/udp/224.1.100.3:11111$订阅源-1920x1080
凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8$订阅源
凤凰中文,http://120.55.49.231:3095/rtp/233.50.200.191:5140$组播源
凤凰资讯,http://xeace.cn:8888/rtp/239.93.1.4:2191$本地源-1920x1080
凤凰资讯,http://wouu.net:9977/rtp/239.93.0.118:2191?Cf=cfss.cc$组播源-1920x1080
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8$本地源-1280x720
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8$订阅源
凤凰资讯,http://120.55.49.231:3095/rtp/233.50.200.192:5140$组播源
凤凰香港,http://50.7.234.10:8278/hkphoenix_twn/playlist.m3u8?tid=MD0D2495250724952507&ct=19249&tsum=b1c0a577a7f4aaa9af143d124ba24a40$订阅源
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8$本地源
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$订阅源
TVBS亚洲,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941621&extension=ts&play_token=vFR5CkmzbA$订阅源
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8$订阅源-1280x720
TVBS新闻,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941622&extension=ts&play_token=E9ymAxKoVJ$订阅源
TVBS欢乐,http://50.7.234.10:8278/tvbshuanle_twn/playlist.m3u8?tid=MBCB7220883472208834&ct=19234&tsum=82bece8e29754b899ffb60e5246dfc74$订阅源

🈳无结果频道,#genre#
星河台,url
